gameId,away_team,away_score,home_team,home_score,home_win
2022020450,NJD,3,NYR,4,1
2022020476,TOR,1,NYR,3,1
2022020489,NYR,6,PHI,3,0
2022020499,NYR,7,CHI,1,0
2022020511,NYR,2,PIT,3,1
2022020527,NYI,3,NYR,5,1
2022020549,WSH,4,NYR,0,0
2022020565,NYR,1,TBL,2,1
2022020591,NYR,5,FLA,3,0
2022020600,CAR,3,NYR,5,1
2022020613,NYR,4,MTL,1,0
2022020628,NYR,3,NJD,4,1
2022020649,MIN,3,NYR,4,1
2022020663,DAL,1,NYR,2,1
2022020691,MTL,2,NYR,1,0
2022020701,NYR,3,CBJ,1,0
2022020718,BOS,3,NYR,1,0
2022020751,FLA,2,NYR,6,1
2022020767,NYR,2,TOR,3,1
2022020784,VGK,1,NYR,4,1
2022020809,CGY,4,NYR,5,1
2022020819,VAN,3,NYR,4,1
2022020828,SEA,3,NYR,6,1
2022020841,NYR,6,CAR,2,0
2022020869,NYR,6,VAN,4,0
2022020881,NYR,5,EDM,4,0
2022020890,NYR,2,CGY,3,1
2022020907,WPG,4,NYR,1,0
2022020925,NYR,1,DET,4,1
2022020937,NYR,3,WSH,6,1
2022020950,LAK,2,NYR,5,1
2022020968,NYR,3,PHI,2,0
2022020976,OTT,5,NYR,3,0
2022020991,NYR,2,BOS,4,1
2022021028,NYR,4,MTL,3,0
2022021040,NYR,2,BUF,1,0
2022021054,NYR,2,PIT,3,1
2022021067,WSH,3,NYR,5,1
2022021082,PIT,2,NYR,4,1
2022021103,PIT,0,NYR,6,1
2022021111,NSH,0,NYR,7,1
2022021120,CAR,3,NYR,2,0
2022021138,NYR,2,CAR,1,0
2022021156,NYR,4,FLA,3,0
2022021176,CBJ,2,NYR,6,1
2022021191,NYR,1,NJD,2,1
2022021200,NYR,2,BUF,3,1
2022021217,NYR,5,WSH,2,0
2022021241,TBL,3,NYR,6,1
2022021251,NYR,2,STL,3,1
2022021263,NYR,4,CBJ,0,0
2022021275,BUF,3,NYR,2,0
2022021304,TOR,3,NYR,2,0
2023020010,NYR,5,BUF,1,0
2023020022,NYR,3,CBJ,5,1
2023020037,ARI,1,NYR,2,1
2023020053,NSH,4,NYR,1,0
2023020078,NYR,4,SEA,1,0
2023020096,NYR,3,CGY,1,0
2023020110,NYR,3,EDM,0,0
2023020124,NYR,4,VAN,3,0
2023020135,NYR,3,WPG,2,0
2023020148,CAR,1,NYR,2,1
2023020169,NYR,4,MIN,5,1
2023020183,DET,3,NYR,5,1
2023020196,MIN,1,NYR,4,1
2023020225,CBJ,3,NYR,4,1
2023020261,NYR,5,NJD,3,0
2023020274,NYR,3,DAL,6,1
2023020283,NYR,1,PIT,0,0
2023020294,NYR,3,PHI,1,0
2023020308,BOS,4,NYR,7,1
2023020322,BUF,5,NYR,1,0
2023020338,DET,2,NYR,3,1
2023020358,NYR,4,NSH,3,0
2023020370,SJS,5,NYR,6,1
2023020382,NYR,2,OTT,6,1
2023020414,NYR,0,WSH,4,1
2023020424,LAK,1,NYR,4,1
2023020432,TOR,7,NYR,3,0
2023020456,ANA,1,NYR,5,1
2023020462,NYR,2,BOS,1,0
2023020489,NYR,5,TOR,2,0
2023020511,EDM,4,NYR,3,0
2023020522,BUF,3,NYR,4,1
2023020529,WSH,1,NYR,5,1
2023020548,NYR,3,FLA,4,1
2023020560,NYR,5,TBL,1,0
2023020575,CAR,6,NYR,1,0
2023020591,CHI,1,NYR,4,1
2023020610,NYR,3,MTL,4,1
2023020621,VAN,6,NYR,3,0
2023020647,NYR,2,STL,5,1
2023020653,NYR,2,WSH,3,1
2023020669,WSH,1,NYR,2,1
2023020681,SEA,2,NYR,5,1
2023020701,NYR,1,VGK,5,1
2023020717,NYR,1,LAK,2,1
2023020722,NYR,5,ANA,2,0
2023020738,NYR,2,SJS,3,1
2023020755,VGK,5,NYR,2,0
2023020765,NYR,7,OTT,2,0
2023020781,COL,1,NYR,2,1
2023020791,TBL,1,NYR,3,1
2023020802,NYR,4,CHI,3,0
2023020820,CGY,0,NYR,2,1
2023020840,MTL,4,NYR,7,1
2023020863,NYR,6,NYI,5,0
2023020877,DAL,1,NYR,3,1
2023020891,NYR,5,NJD,1,0
2023020905,NYR,2,PHI,1,0
2023020919,NYR,2,CBJ,4,1
2023020939,CBJ,1,NYR,4,1
2023020964,NYR,3,TOR,4,1
2023020976,FLA,4,NYR,2,0
2023021018,STL,0,NYR,4,1
2023021028,NJD,1,NYR,3,1
2023021032,NYR,1,CAR,0,0
2023021052,NYR,3,TBL,6,1
2023021061,NYR,7,PIT,4,0
2023021073,NYI,2,NYR,5,1
2023021085,WPG,4,NYR,2,0
2023021098,NYR,5,BOS,2,0
2023021119,FLA,3,NYR,4,1
2023021137,PHI,5,NYR,6,1
2023021159,NYR,3,COL,2,0
2023021168,NYR,8,ARI,5,0
2023021182,PIT,5,NYR,2,0
2023021198,NJD,3,NYR,4,1
2023021213,NYR,4,DET,3,0
2023021234,MTL,2,NYR,5,1
2023021244,NYR,2,NYI,4,1
2023021257,PHI,4,NYR,1,0
2023021270,NYI,2,NYR,3,1
2023021292,OTT,0,NYR,4,1
2021020033,WPG,3,SJS,4,1
2021020040,SJS,5,MTL,0,0
2021020053,SJS,2,OTT,1,0
2021020063,SJS,5,TOR,3,0
2021020079,SJS,3,BOS,4,1
2021020092,SJS,1,NSH,3,1
2021020109,MTL,4,SJS,0,0
2021020126,WPG,1,SJS,2,1
2021020143,BUF,3,SJS,5,1
2021020155,STL,5,SJS,3,0
2021020173,NJD,3,SJS,2,0
2021020189,SJS,4,CGY,1,0
2021020202,SJS,1,WPG,4,1
2021020221,SJS,2,COL,6,1
2021020240,SJS,4,MIN,1,0
2021020253,SJS,1,STL,4,1
2021020273,WSH,4,SJS,0,0
2021020286,CAR,1,SJS,2,1
2021020302,OTT,3,SJS,6,1
2021020316,TOR,4,SJS,1,0
2021020330,SJS,2,CHI,0,0
2021020339,SJS,5,NJD,2,0
2021020355,SJS,2,NYI,1,0
2021020379,SJS,4,CBJ,6,1
2021020397,CGY,3,SJS,5,1
2021020410,MIN,5,SJS,2,0
2021020429,DAL,1,SJS,2,1
2021020450,SEA,3,SJS,1,0
2021020464,VAN,5,SJS,2,0
2021020540,ARI,7,SJS,8,1
2021020557,PHI,2,SJS,3,1
2021020577,SJS,5,PIT,8,1
2021020588,SJS,2,DET,6,1
2021020600,SJS,3,BUF,2,0
2021020616,SJS,3,PHI,2,0
2021020645,DET,2,SJS,3,1
2021020678,PIT,2,SJS,1,0
2021020689,LAK,2,SJS,6,1
2021020712,SJS,2,SEA,3,1
2021020731,TBL,7,SJS,1,0
2021020754,SJS,4,WSH,1,0
2021020776,SJS,4,FLA,5,1
2021020787,SJS,1,CAR,2,1
2021020797,SJS,2,TBL,3,1
2021020522,EDM,3,SJS,0,0
2021020502,VAN,5,SJS,4,0
2021021161,VGK,4,SJS,1,0
2021020536,SJS,3,ANA,4,1
2021020821,NYI,3,SJS,4,1
2021020838,BOS,3,SJS,1,0
2021020846,SEA,1,SJS,3,1
2021020858,SJS,1,VGK,3,1
2021020889,NSH,8,SJS,0,0
2021020897,SJS,2,ANA,3,1
2021020927,SJS,4,LAK,3,0
2021020941,LAK,0,SJS,5,1
2021020963,FLA,3,SJS,2,0
2021020976,SJS,0,LAK,3,1
2021020982,COL,5,SJS,3,0
2021020999,ARI,2,SJS,4,1
2021021012,SJS,4,CGY,3,0
2021021025,SJS,2,EDM,5,1
2021021045,ANA,1,SJS,4,1
2021021072,SJS,2,ARI,5,1
2021021080,SJS,2,COL,4,1
2021021099,DAL,5,SJS,4,0
2021021122,EDM,2,SJS,1,0
2021021136,CGY,4,SJS,2,0
2021021152,SJS,2,VAN,4,1
2021021188,SJS,0,NSH,1,1
2021021171,SJS,4,CHI,5,1
2021021204,SJS,1,DAL,2,1
2021021214,SJS,4,MIN,5,1
2021021227,CBJ,2,SJS,3,1
2021021243,STL,3,SJS,1,0
2021021259,CHI,1,SJS,4,1
2021021269,SJS,5,VGK,4,0
2021021285,ANA,5,SJS,2,0
2021021297,SJS,4,EDM,5,1
2021021312,SJS,0,SEA,3,1
2022020001,SJS,1,NSH,4,1
2022020002,NSH,3,SJS,2,0
2022020024,CAR,2,SJS,1,0
2022020038,CHI,5,SJS,2,0
2022020051,SJS,2,NYI,5,1
2022020075,SJS,1,NJD,2,1
2022020091,SJS,3,PHI,0,0
2022020107,VGK,4,SJS,2,0
2022020119,TOR,3,SJS,4,1
2022020129,TBL,4,SJS,3,0
2022020158,ANA,6,SJS,5,0
2022020173,FLA,4,SJS,3,0
2022020188,ANA,5,SJS,4,0
2022020218,SJS,3,STL,5,1
2022020223,SJS,5,DAL,4,0
2022020240,SJS,3,MIN,2,0
2022020256,SJS,5,VGK,2,0
2022020272,DET,7,SJS,4,0
2022020299,OTT,1,SJS,5,1
2022020316,SJS,5,SEA,8,1
2022020331,LAK,5,SJS,2,0
2022020344,VAN,4,SJS,3,0
2022020354,SJS,4,MTL,0,0
2022020363,SJS,1,TOR,3,1
2022020383,SJS,2,OTT,5,1
2022020395,SJS,3,BUF,6,1
2022020418,VAN,6,SJS,5,0
2022020433,SJS,6,ANA,1,0
2022020465,ARI,2,SJS,3,1
2022020496,SJS,2,LAK,3,1
2022020501,CGY,5,SJS,2,0
2022020517,CGY,7,SJS,3,0
2022020532,MIN,2,SJS,5,1
2022020556,SJS,2,VAN,6,1
2022020573,PHI,4,SJS,3,0
2022020586,SJS,2,DAL,5,1
2022020593,SJS,5,CHI,2,0
2022020627,SJS,4,ANA,5,1
2022020636,BOS,4,SJS,2,0
2022020657,SJS,4,ARI,2,0
2022020661,SJS,3,LAK,4,1
2022020676,EDM,7,SJS,1,0
2022020697,NJD,4,SJS,3,0
2022020716,DAL,3,SJS,5,1
2022020736,SJS,3,CBJ,5,1
2022020748,SJS,0,BOS,4,1
2022020760,SJS,2,DET,3,1
2022020783,SJS,4,CAR,5,1
2022020793,SJS,6,PIT,4,0
2022020814,SJS,4,TBL,3,0
2022020823,SJS,1,FLA,4,1
2022020847,SJS,4,WSH,1,0
2022020863,PIT,3,SJS,1,0
2022020877,SJS,1,VGK,2,1
2022020893,BUF,4,SJS,2,0
2022020905,SEA,0,SJS,4,1
2022020929,NSH,6,SJS,2,0
2022020946,CHI,4,SJS,3,0
2022020967,MTL,3,SJS,1,0
2022020983,STL,6,SJS,3,0
2022020993,WSH,8,SJS,3,0
2022021007,SJS,3,WPG,2,0
2022021019,SJS,0,COL,6,1
2022021032,SJS,2,STL,4,1
2022021051,MIN,5,SJS,2,0
2022021074,CBJ,6,SJS,5,0
2022021090,SEA,2,SJS,1,0
2022021107,NYI,4,SJS,1,0
2022021118,SJS,4,EDM,5,1
2022021145,SJS,2,VAN,7,1
2022021153,SJS,3,CGY,5,1
2022021185,WPG,0,SJS,3,1
2022021199,VGK,3,SJS,4,1
2022021216,SJS,7,ARI,2,0
2022021239,COL,4,SJS,3,0
2022021256,COL,6,SJS,2,0
2022021259,EDM,6,SJS,1,0
2022021278,SJS,2,WPG,6,1
2022021297,SJS,1,CGY,3,1
2022021308,SJS,2,EDM,5,1
2023020016,VGK,4,SJS,1,0
2023020030,COL,2,SJS,1,0
2023020047,CAR,6,SJS,3,0
2023020062,BOS,3,SJS,1,0
2023020074,SJS,1,NSH,5,1
2023020089,SJS,1,FLA,3,1
2023020106,SJS,0,TBL,6,1
2023020112,SJS,0,CAR,3,1
2023020128,SJS,1,WSH,3,1
2023020156,VAN,10,SJS,1,0
2023020171,PIT,10,SJS,2,0
2023020189,PHI,1,SJS,2,1
2023020203,EDM,2,SJS,3,1
2023020209,SJS,0,VGK,5,1
2023020226,SJS,1,ANA,4,1
2023020237,FLA,5,SJS,3,0
2023020250,STL,1,SJS,5,1
2023020278,SJS,1,VAN,3,1
2023020292,SJS,1,SEA,7,1
2023020300,MTL,3,SJS,2,0
2023020314,VAN,3,SJS,4,1
2023020326,WSH,1,SJS,2,1
2023020340,SJS,0,BOS,3,1
2023020355,SJS,6,NJD,3,0
2023020383,SJS,5,NYI,4,0
2023020393,SJS,6,DET,5,0
2023020427,SJS,4,VGK,5,1
2023020441,WPG,1,SJS,2,1
2023020459,SJS,0,ARI,1,1
2023020477,SJS,2,COL,6,1
2023020494,LAK,4,SJS,1,0
2023020509,ARI,5,SJS,2,0
2023020527,SJS,4,VAN,7,1
2023020541,SJS,1,LAK,5,1
2023020545,EDM,5,SJS,0,0
2023020571,SJS,1,COL,3,1
2023020586,DET,5,SJS,3,0
2023020601,WPG,2,SJS,1,0
2023020613,TOR,4,SJS,1,0
2023020627,SJS,1,TOR,7,1
2023020642,SJS,3,MTL,2,0
2023020655,SJS,4,OTT,5,1
2023020672,SJS,0,BUF,3,1
2023020686,SJS,1,CHI,2,1
2023020715,ANA,3,SJS,5,1
2023020729,SJS,4,LAK,3,0
2023020762,BUF,5,SJS,2,0
2023020777,SEA,0,SJS,2,1
2023020780,SJS,2,ANA,3,1
2023020835,SJS,0,WPG,1,1
2023020846,SJS,6,CGY,3,0
2023020861,CBJ,4,SJS,3,0
2023020873,VGK,4,SJS,0,0
2023020914,NSH,4,SJS,2,0
2023020938,NJD,7,SJS,2,0
2023020952,ANA,6,SJS,4,0
2023020966,SJS,2,DAL,3,1
2023020972,SJS,3,MIN,4,1
2023020989,DAL,7,SJS,6,0
2023021004,NYI,7,SJS,2,0
2023021015,OTT,1,SJS,2,1
2023021035,SJS,2,PHI,3,1
2023021051,SJS,3,PIT,6,1
2023021065,SJS,2,CBJ,4,1
2023021076,SJS,2,CHI,5,1
2023021088,SJS,2,NSH,8,1
2023021108,TBL,4,SJS,1,0
2023021122,CHI,5,SJS,4,0
2023021147,DAL,6,SJS,3,0
2023021156,SJS,1,MIN,3,1
2023021177,SJS,4,STL,0,0
2023021188,SEA,4,SJS,2,0
2023021210,LAK,2,SJS,1,0
2023021221,STL,2,SJS,3,1
2023021231,ARI,5,SJS,2,0
2023021251,CGY,3,SJS,2,0
2023021263,SJS,3,SEA,1,0
2023021282,MIN,6,SJS,2,0
2023021293,SJS,2,EDM,9,1
2023021309,SJS,1,CGY,5,1
2020020001,PIT,3,PHI,6,1
2020020018,PIT,2,PHI,5,1
2020020035,WSH,3,PIT,4,1
2020020050,WSH,4,PIT,5,1
2020020093,PIT,2,BOS,3,1
2020020109,PIT,1,BOS,4,1
2020020181,PIT,3,NYI,4,1
2020020215,PIT,4,NYI,3,0
2020020242,WSH,3,PIT,6,1
2020020257,WSH,3,PIT,1,0
2020020267,NYI,1,PIT,4,1
2020020281,NYI,2,PIT,3,1
2020020302,PIT,3,WSH,2,0
2020020313,PIT,2,WSH,5,1
2020020328,PIT,4,NYI,3,0
2020020341,PIT,0,NYI,2,1
2020020355,PHI,2,PIT,5,1
2020020366,PHI,4,PIT,3,0
2020020668,PHI,3,PIT,4,1
2020020416,PIT,5,BUF,2,0
2020020431,PIT,3,BUF,0,0
2020020450,BOS,1,PIT,4,1
2020020459,BOS,2,PIT,1,0
2020020201,PIT,2,NJD,3,1
2020020477,PIT,3,NJD,1,0
2020020151,NJD,2,PIT,1,0
2020020509,BUF,2,PIT,5,1
2020020532,BUF,0,PIT,4,1
2020020561,NYI,3,PIT,6,1
2020020549,NYI,1,PIT,2,1
2020020571,PIT,4,BOS,1,0
2020020585,PIT,5,BOS,7,1
2020020494,PIT,6,NJD,4,0
2020020650,PIT,5,NJD,2,0
2020020680,PHI,2,PIT,1,0
2020020690,PIT,3,BUF,2,0
2020020715,PIT,2,BUF,4,1
2020020166,NJD,6,PIT,7,1
2020020733,NJD,1,PIT,5,1
2020020746,NJD,2,PIT,4,1
2020020757,BOS,0,PIT,1,1
2020020770,BOS,3,PIT,1,0
2020020785,PIT,5,WSH,4,0
2020020799,PIT,3,WSH,0,0
2020020815,PIT,2,PHI,7,1
2020020826,PIT,7,PHI,3,0
2020020842,BUF,4,PIT,8,1
2020020858,BUF,0,PIT,1,1
2021020001,PIT,6,TBL,2,0
2021020010,PIT,4,FLA,5,1
2021020026,CHI,2,PIT,5,1
2021020044,DAL,2,PIT,1,0
2021020071,TOR,1,PIT,7,1
2021020091,TBL,5,PIT,1,0
2021020103,CGY,4,PIT,0,0
2021020119,NJD,4,PIT,2,0
2021020153,PHI,2,PIT,3,1
2021020167,MIN,5,PIT,4,0
2021020187,PIT,2,CHI,3,1
2021020200,FLA,2,PIT,3,1
2021020212,PIT,3,OTT,6,1
2021020227,PIT,1,WSH,6,1
2021020237,BUF,2,PIT,1,0
2021020249,PIT,6,MTL,0,0
2021020261,PIT,2,TOR,0,0
2021020284,PIT,3,WPG,1,0
2021020295,VAN,1,PIT,4,1
2021020307,PIT,1,NYI,0,0
2021020319,MTL,6,PIT,3,0
2021020336,PIT,1,CGY,2,1
2021020350,PIT,2,EDM,5,1
2021020376,PIT,4,VAN,1,0
2021020387,PIT,6,SEA,1,0
2021020414,PIT,4,WSH,2,0
2021020423,ANA,0,PIT,1,1
2021020442,MTL,2,PIT,5,1
2021020466,BUF,2,PIT,3,1
2021020482,PIT,3,NJD,2,0
2021020597,STL,3,PIT,5,1
2021020604,PIT,6,PHI,2,0
2021020619,PIT,2,DAL,3,1
2021020644,PIT,4,ANA,1,0
2021020659,PIT,2,LAK,6,1
2021020688,PIT,5,VGK,3,0
2021020707,OTT,4,PIT,6,1
2021020716,PIT,5,CBJ,2,0
2021020733,WPG,2,PIT,3,1
2021020747,ARI,3,PIT,6,1
2021020762,SEA,2,PIT,1,0
2021020768,DET,3,PIT,2,0
2021020786,LAK,4,PIT,3,0
2021020802,WSH,4,PIT,3,0
2021020523,PIT,4,BOS,2,0
2021020559,PIT,2,OTT,0,0
2021020817,PIT,4,NJD,2,0
2021020514,PHI,4,PIT,5,1
2021020542,PIT,1,TOR,4,1
2021021304,CAR,4,PIT,3,0
2021020497,NJD,6,PIT,1,0
2021020841,PIT,3,CBJ,2,0
2021020864,PIT,5,TBL,1,0
2021020876,PIT,2,CAR,3,1
2021020906,FLA,4,PIT,3,0
2021020929,VGK,2,PIT,5,1
2021020945,CAR,2,PIT,4,1
2021020958,PIT,1,NSH,4,1
2021020972,PIT,3,STL,2,0
2021020991,PIT,4,ARI,1,0
2021021007,CBJ,1,PIT,5,1
2021021014,PIT,3,BUF,4,1
2021021050,DET,2,PIT,11,1
2021021079,PIT,4,MIN,3,0
2021021097,PIT,2,COL,3,1
2021021119,COL,6,PIT,4,0
2021021146,WSH,6,PIT,3,0
2021021157,NSH,2,PIT,3,1
2021020922,PIT,4,NYI,5,1
2021021185,NYI,3,PIT,6,1
2021021196,PIT,1,BOS,2,1
2021021238,BOS,0,PIT,4,1
2021021251,PIT,7,DET,2,0
2021021264,PIT,1,PHI,4,1
2021021278,EDM,5,PIT,1,0
2021021169,CBJ,3,PIT,5,1
2022020011,ARI,2,PIT,6,1
2022020031,TBL,2,PIT,6,1
2022020042,PIT,2,MTL,3,1
2022020062,LAK,1,PIT,6,1
2022020081,PIT,6,CBJ,3,0
2022020094,PIT,3,EDM,6,1
2022020104,PIT,1,CGY,4,1
2022020125,PIT,1,VAN,5,1
2022020138,PIT,1,SEA,3,1
2022020147,BOS,6,PIT,5,0
2022020160,PIT,3,BUF,6,1
2022020183,SEA,3,PIT,2,0
2022020208,PIT,4,WSH,1,0
2022020221,PIT,4,TOR,2,0
2022020229,PIT,4,MTL,5,1
2022020251,TOR,5,PIT,2,0
2022020268,PIT,6,MIN,4,0
2022020281,PIT,3,WPG,0,0
2022020290,PIT,5,CHI,3,0
2022020305,CGY,1,PIT,2,1
2022020324,PIT,4,PHI,1,0
2022020335,TOR,4,PIT,1,0
2022020352,CAR,3,PIT,2,0
2022020368,VGK,3,PIT,4,1
2022020384,STL,2,PIT,6,1
2022020404,CBJ,1,PIT,4,1
2022020426,PIT,4,BUF,3,0
2022020437,BUF,1,PIT,3,1
2022020449,DAL,1,PIT,2,1
2022020474,PIT,4,FLA,2,0
2022020498,PIT,2,CAR,3,1
2022020526,CAR,4,PIT,3,0
2022020550,PIT,1,NYI,5,1
2022020560,DET,5,PIT,4,0
2022020576,NJD,4,PIT,2,0
2022020595,PIT,1,BOS,2,1
2022020620,PIT,2,VGK,5,1
2022020641,PIT,4,ARI,1,0
2022020652,VAN,4,PIT,5,1
2022020674,WPG,4,PIT,1,0
2022020682,PIT,1,CAR,2,1
2022020700,ANA,3,PIT,4,1
2022020712,PIT,4,OTT,5,1
2022020730,OTT,1,PIT,4,1
2022020746,PIT,1,NJD,2,1
2022020756,FLA,6,PIT,7,1
2022020773,PIT,2,WSH,3,1
2022020813,COL,1,PIT,2,1
2022020831,PIT,6,ANA,3,0
2022020845,PIT,0,LAK,6,1
2022020879,PIT,4,NYI,5,1
2022020886,NJD,5,PIT,2,0
2022020906,NYI,4,PIT,2,0
2022020922,EDM,7,PIT,2,0
2022020943,PIT,3,STL,2,0
2022020951,TBL,3,PIT,7,1
2022020963,PIT,3,NSH,1,0
2022020977,PIT,5,TBL,4,0
2022020992,PIT,1,FLA,4,1
2022021013,CBJ,4,PIT,5,1
2022021027,NYI,4,PIT,3,0
2022021039,PHI,1,PIT,5,1
2022021064,MTL,6,PIT,4,0
2022021115,OTT,2,PIT,1,0
2022021133,PIT,5,COL,2,0
2022021143,PIT,2,DAL,3,1
2022021162,WSH,3,PIT,4,1
2022021180,PIT,4,DET,7,1
2022021192,NSH,0,PIT,2,1
2022021205,BOS,4,PIT,3,0
